biocomp_id,molregno,component_id
3121,1121893,20568
2804,1121893,20569
3122,1121894,20584
1856,1121894,21126
3123,1121895,20826
2485,1121895,20827
2805,1121896,20657
1259,1121896,20658
2806,1121897,20669
1857,1121897,20670
2807,1121898,20847
3124,1121898,20848
2486,1121899,20759
2487,1121899,20760
3420,1121900,20540
2154,1121900,20541
2808,1121900,21895
1260,1121900,21896
2155,1121901,20673
2488,1121901,20674
2490,1121902,20856
2489,1121902,20857
1261,1121903,20560
2156,1121903,20561
3125,1121904,20828
1561,1121904,20829
2491,1121904,22088
2157,1121904,22089
2159,1121905,20936
1262,1121905,20937
2158,1121905,21918
1263,1121905,21952
2809,1121906,20570
3126,1121906,20571
2810,1121907,20761
3127,1121907,20762
2492,1121908,20763
1562,1121908,20764
2160,1121909,20932
2493,1121909,20933
2811,1121910,20675
1858,1121910,20676
2161,1121911,20543
1859,1121911,20544
1860,1121912,20673
2812,1121912,20674
2494,1121912,21962
3421,1121912,21963
3129,1121913,20765
3128,1121913,20766
3422,1121914,20677
1861,1121914,20678
2162,1121914,21967
2163,1121914,21968
2495,1121915,20845
1264,1121915,20846
1265,1121916,20911
2164,1121916,20912
2165,1121917,20687
3423,1121917,20688
2813,1121918,20572
1862,1121918,20573
2166,1121918,21969
1563,1121918,21970
1863,1121919,20930
3424,1121919,20931
1564,1121919,22016
2167,1121919,22017
1864,1121920,20767
3130,1121920,20768
2168,1121920,22020
1565,1121920,22021
1266,1121921,20797
3131,1121921,20798
2169,1121922,20679
2814,1121922,20680
3132,1121922,20681
2496,1121923,20811
1865,1121923,22230
1267,1121924,20545
3133,1121924,20546
2170,1121925,20684
2815,1121926,20881
1269,1121926,20882
1268,1121926,20883
2816,1121927,20695
1866,1121927,20696
3134,1121928,20769
3135,1121929,20578
1566,1121929,20579
3425,1121930,20841
2171,1121930,20842
3136,1121931,20854
2817,1121932,20806
2172,1121932,20807
1270,1121933,20562
1867,1121933,20563
1868,1121933,22067
3137,1121933,22068
2497,1121934,20564
2818,1121934,20565
3138,1121935,20645
1869,1121935,20646
2173,1121936,20803
2498,1121936,20804
3139,1121937,20653
3426,1121937,20654
2820,1121938,20770
2819,1121938,20771
1271,1121939,20926
3140,1121939,20927
1870,1121939,22115
2174,1121939,22116
1567,1121940,20655
1871,1121940,20656
3141,1121941,20661
3427,1121941,20662
2175,1121941,22118
1272,1121941,22119
1274,1121942,20928
1273,1121942,20929
1872,1121943,20651
3428,1121943,20652
1873,1121944,21476
2177,1121945,20783
2176,1121945,20784
1874,1121946,20689
2178,1121946,21250
2821,1121947,20772
2179,1121947,20773
3142,1121948,20862
1568,1121948,20863
1275,1121949,20774
1875,1121949,20775
1276,1121950,20574
2822,1121950,20575
2180,1121951,20818
1876,1121951,20819
1569,1121952,20776
2181,1121952,20777
1277,1121952,22165
3143,1121952,22166
2823,1121953,20778
1278,1121953,20868
2824,1121953,22306
1877,1121953,22335
1279,1121954,20789
3144,1121954,20790
3429,1121956,20682
