prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19448,PRODUCT_208944_001,8895618,2025-11-23,0,1,,0,2017-09-21
19449,PRODUCT_208799_003,8651103,2028-03-26,0,1,,0,2017-01-30
19450,PRODUCT_200327_001,9629861,2030-09-21,0,1,,0,2017-05-17
19451,PRODUCT_201656_001,9539302,2030-06-15,0,1,,0,2017-03-31
19452,PRODUCT_022569_003,9731869,2032-01-26,0,1,,0,2017-09-01
19454,PRODUCT_208325_002,8377880,2030-07-29,1,1,,0,2017-06-01
19456,PRODUCT_209606_001,9738625,2034-08-01,1,0,,0,2017-08-29
19458,PRODUCT_208798_002,8978966,2032-01-13,0,1,,0,2017-01-30
19459,PRODUCT_207921_001,8132712,2028-09-07,0,1,,0,2017-08-28
19460,PRODUCT_201656_002,9539302,2030-06-15,0,1,,0,2017-03-31
19461,PRODUCT_022200_002,8721615,2030-01-18,0,1,,0,2017-11-15
19463,PRODUCT_208798_002,9216260,2031-06-28,0,1,,0,2017-01-30
19465,PRODUCT_200677_003,7473761,2026-12-14,1,1,,0,2013-01-10
19470,PRODUCT_204325_001,9017731,2032-06-28,0,1,,0,2017-09-21
19471,PRODUCT_203214_001,RE41783,2025-12-08,1,0,,0,2012-11-30
19473,PRODUCT_021338_001,9731121,2031-10-17,0,1,,0,2017-09-12
19474,PRODUCT_209940_002,8513255,2024-05-22,1,1,,0,2017-12-07
19475,PRODUCT_208510_006,7662787,2023-02-24,1,0,,0,2017-02-27
19477,PRODUCT_208798_002,7540282,2023-05-06,0,1,,0,2017-01-30
19478,PRODUCT_208692_003,9724342,2033-07-09,0,1,,0,2017-08-25
19479,PRODUCT_200678_003,9339472,2025-07-13,0,1,,0,2017-03-22
19480,PRODUCT_207975_003,9572803,2027-09-13,0,1,,0,2017-02-21
19481,PRODUCT_209394_001,9321807,2035-06-05,1,0,,0,2017-08-29
19482,PRODUCT_204958_001,10039780,2035-07-10,0,0,U-2260,0,2018-08-30
19484,PRODUCT_209819_001,9782402,2031-06-06,0,1,U-2208,0,2017-12-13
19485,PRODUCT_209819_001,9272044,2031-06-06,0,0,U-2177,0,2017-12-13
19486,PRODUCT_208944_002,9867792,2030-12-02,0,0,U-2106,0,2018-01-16
19487,PRODUCT_209819_002,9272044,2031-06-06,0,0,U-2209,0,2017-12-13
19488,PRODUCT_209806_001,9439902,2030-10-21,0,0,U-2214,0,2018-01-16
19489,PRODUCT_209805_001,9439901,2030-10-21,0,0,U-2214,0,2018-01-16
19490,PRODUCT_209819_002,9272044,2031-06-06,0,0,U-2176,0,2017-12-13
19493,PRODUCT_202813_001,10188811,2031-10-21,0,1,,0,2019-02-21
