chembl_id,entity_type,entity_id,status,last_active
CHEMBL1000091,ASSAY,481078,ACTIVE,34.0
CHEMBL1000092,ASSAY,481079,ACTIVE,34.0
CHEMBL1000093,ASSAY,481080,ACTIVE,34.0
CHEMBL1000094,ASSAY,481081,ACTIVE,34.0
CHEMBL1000095,ASSAY,481082,ACTIVE,34.0
CHEMBL1000096,ASSAY,481083,ACTIVE,34.0
CHEMBL1000097,ASSAY,481084,ACTIVE,34.0
CHEMBL1000098,ASSAY,481085,ACTIVE,34.0
CHEMBL1000099,ASSAY,481086,ACTIVE,34.0
CHEMBL10001,COMPOUND,5996,ACTIVE,34.0
CHEMBL100010,COMPOUND,165751,ACTIVE,34.0
CHEMBL1000100,ASSAY,481087,ACTIVE,34.0
CHEMBL1000101,ASSAY,481088,ACTIVE,34.0
CHEMBL1000102,ASSAY,481089,ACTIVE,34.0
CHEMBL1000103,ASSAY,481090,ACTIVE,34.0
CHEMBL1000104,ASSAY,481091,ACTIVE,34.0
CHEMBL1000105,ASSAY,481092,ACTIVE,34.0
CHEMBL1000106,ASSAY,481093,ACTIVE,34.0
CHEMBL1000107,ASSAY,481094,ACTIVE,34.0
CHEMBL1000108,ASSAY,481095,ACTIVE,34.0
CHEMBL1000109,ASSAY,481096,ACTIVE,34.0
CHEMBL100011,COMPOUND,163072,ACTIVE,34.0
CHEMBL1000110,ASSAY,481097,ACTIVE,34.0
CHEMBL1000111,ASSAY,481098,ACTIVE,34.0
CHEMBL1000112,ASSAY,481099,ACTIVE,34.0
CHEMBL1000113,ASSAY,481100,ACTIVE,34.0
CHEMBL1000114,ASSAY,481101,ACTIVE,34.0
CHEMBL1000115,ASSAY,481102,ACTIVE,34.0
CHEMBL1000116,ASSAY,481103,ACTIVE,34.0
CHEMBL1000117,ASSAY,481104,ACTIVE,34.0
CHEMBL1000118,ASSAY,481105,ACTIVE,34.0
CHEMBL1000119,ASSAY,481106,ACTIVE,34.0
CHEMBL100012,COMPOUND,165131,ACTIVE,34.0
CHEMBL1000120,ASSAY,481107,ACTIVE,34.0
CHEMBL1000121,ASSAY,481108,ACTIVE,34.0
CHEMBL1000122,ASSAY,481109,ACTIVE,34.0
CHEMBL1000123,ASSAY,481110,ACTIVE,34.0
CHEMBL1000124,ASSAY,481111,ACTIVE,34.0
CHEMBL1000125,ASSAY,481112,ACTIVE,34.0
CHEMBL1000126,ASSAY,481113,ACTIVE,34.0
CHEMBL1000127,ASSAY,481114,ACTIVE,34.0
CHEMBL1000128,ASSAY,481115,ACTIVE,34.0
CHEMBL1000129,ASSAY,481116,ACTIVE,34.0
CHEMBL100013,COMPOUND,163457,ACTIVE,34.0
CHEMBL1000130,ASSAY,481117,ACTIVE,34.0
CHEMBL1000131,ASSAY,496142,ACTIVE,34.0
CHEMBL1000132,ASSAY,496143,ACTIVE,34.0
CHEMBL1000133,ASSAY,496144,ACTIVE,34.0
CHEMBL1000134,ASSAY,496145,ACTIVE,34.0
CHEMBL1000135,ASSAY,496146,ACTIVE,34.0
CHEMBL1000136,ASSAY,496147,ACTIVE,34.0
CHEMBL1000137,ASSAY,496148,ACTIVE,34.0
CHEMBL1000138,ASSAY,496149,ACTIVE,34.0
CHEMBL1000139,ASSAY,496150,ACTIVE,34.0
CHEMBL100014,COMPOUND,164444,ACTIVE,34.0
CHEMBL1000140,ASSAY,496151,ACTIVE,34.0
CHEMBL1000141,ASSAY,496152,ACTIVE,34.0
CHEMBL1000142,ASSAY,496153,ACTIVE,34.0
CHEMBL1000143,ASSAY,496154,ACTIVE,34.0
CHEMBL1000144,ASSAY,496155,ACTIVE,34.0
CHEMBL1000145,ASSAY,496156,ACTIVE,34.0
CHEMBL1000146,ASSAY,496157,ACTIVE,34.0
CHEMBL1000147,ASSAY,496158,ACTIVE,34.0
CHEMBL1000148,ASSAY,496159,ACTIVE,34.0
CHEMBL1000149,ASSAY,496160,ACTIVE,34.0
CHEMBL100015,COMPOUND,164445,INACTIVE,
CHEMBL1000150,ASSAY,496161,ACTIVE,34.0
CHEMBL1000151,ASSAY,496162,ACTIVE,34.0
CHEMBL1000152,ASSAY,496163,ACTIVE,34.0
CHEMBL1000153,ASSAY,496164,ACTIVE,34.0
CHEMBL1000154,ASSAY,496165,ACTIVE,34.0
CHEMBL1000155,ASSAY,496166,ACTIVE,34.0
CHEMBL1000156,ASSAY,496167,ACTIVE,34.0
CHEMBL1000157,ASSAY,496168,ACTIVE,34.0
CHEMBL1000158,ASSAY,496169,ACTIVE,34.0
CHEMBL1000159,ASSAY,497651,ACTIVE,34.0
CHEMBL100016,COMPOUND,164554,ACTIVE,34.0
CHEMBL1000160,ASSAY,497652,ACTIVE,34.0
CHEMBL1000161,ASSAY,497653,ACTIVE,34.0
CHEMBL1000162,ASSAY,497654,ACTIVE,34.0
CHEMBL1000163,ASSAY,497655,ACTIVE,34.0
